Blog	four	looking	second	k	reports	brought	music	until	example	want	feature	machine	wrong	easier	series	service	needed	showed	project	person	tech	saying	result	lots	men	country	asked	chrome	much	pro	life	things	had	easy	possible	right	old	support	full	leave	team	alone	along	love	working	such	data	years	course	didn	internet	million	quite	open	city	future	san	turned	say	note	take	sale	ways	link	going	where	photos	former	technology	being	rest	around	world	power	industry	favorite	her	ad	am	having	original	tv	th	large	small	past	hours	november	social	via	company	learn	huge	its	always	found	really	research	major	number	sell	self	also	play	plan	sometimes	cover	set	see	movie	available	whole	community	read	recent	amp	readers	couple	d	continue	senate	anything	line	posted	us	ago	land	came	results	young	try	video	let	great	makes	tools	next	baby	challenge	process	high	move	doing	could	start	system	best	should	hope	means	stuff	email	etc	co	android	off	less	web	government	five	become	does	problem	monday	worth	told	word	work	network	created	another	john	away	com	voice	hand	photo	thanks	night	post	months	way	true	moore	face	test	update	together	p	guy	change	live	car	heard	write	product	still	non	half	space	shows	care	friend	than	online	america	only	between	article	comes	learning	these	media	thinking	real	early	using	business	aren	lot	trying	building	since	month	very	learned	family	ask	site	history	help	soon	actually	event	put	american	behind	clear	pretty	during	x	close	won	probably	else	look	while	guide	ready	game	step	within	doesn	e	youtube	go	facebook	michael	win	started	meet	control	links	including	hands	university	special	times	wikileaks	art	need	able	talk	based	she	both	party	well	lost	page	twitter	home	mdash	he	piece	star	stay	friends	lives	companies	likely	even	tips	ever	never	met	call	tell	room	give	amazing	answer	president	before	personal	better	weeks	went	side	mean	content	isn	features	matter	mind	seem	don	m	stop	bad	decided	said	against	appeared	three	website	make	opportunity	left	yes	yet	potential	save	deal	popular	super	down	drive	digital	billion	finally	me	did	run	box	making	may	man	maybe	nbsp	group	interesting	earlier	thing	think	little	anyone	were	especially	shot	show	black	morning	enough	reading	across	according	mark	those	many	then	different	same	running	money	videos	again	important	u	starting	public	search	published	two	hour	share	needs	through	late	good	someone	everyone	house	hard	members	done	least	part	believe	b	click	build	find	please	fans	point	simple	create	understand	bill	fun	itself	spend	big	bit	google	often	back	per	forward	others	later	private	account	la	ll	day	sexual	text	taking	general	center	thought	latest	add	success	happens	buy	minutes	sleep	under	every	street	would	phone	must	keep	end	over	writing	each	got	free	wanted	days	already	top	too	tom	took	talking	though	watch	amazon	report	however	news	experience	several	pick	election	everything	security	head	donald	longer	focus	roy	cool	level	posts	says	goes	water	iphone	today	local	trump	figure	information	happened	name	turn	place	coming	white	released	r	any	ideas	sure	state	college	review	come	case	events	week	without	seems	blog	idea	wife	follow	program	woman	song	far	list	ten	design	version	known	rather	short	might	wouldn	used	friday	feel	story	store	kind	finding	nothing	his	him	wrote	recently	york	c	became	questions	question	long	called	nice	users	once	include	deals	leaving	apple	app	use	few	women	tax	something	instead	light	looks	related	our	why	thousands	ones	words	view	stories	last	gets	percent	other	smart	know	press	james	because	getting	own	apps	made	whether	book
The Full Feed from HuffingtonPost.com	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	5	0	2	0	0	0	0	0	2	0	4	4	0	0	0	0	0	0	1	0	1	1	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	2	1	0	0	0	0	0	0	1	0	0	0	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	2	0	0	0	0	2	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	2	1	0	1	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	7	2	0	0	1	0	0	0	0	0	4	1	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	2	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	2	0	0	0	0	4	0	0
Pharyngula	0	1	0	0	0	0	0	0	0	2	0	0	1	0	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	2	3	2	0	0	4	2	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	1	0	2	0	0	3	0	0	0	2	3	0	0	0	0	0	2	0	0	0	1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	1	0	0	2	3	0	0	0	3	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	2	0	0	0	1	1	2	2	0	0	1	0	2	0	0	3	0	1	0	0	0	0	0	2	1	0	3	1	1	0	0	0	1	0	1	0	3	0	1	0	0	1	0	0	1	1	2	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	1	2	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	1	0	0	0	1	0	4	0	0	1	0	0	7	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	2	0	0	0	1	0	0	0	1	5	9	2	3	1	1	1	0	0	1	0	1	1	1	1	1	0	1	1	0	0	0	0	0	1	3	3	0	0	0	2	1	2	0	0	0	0	1	2	1	2	1	0	0	2	0	0	2	0	0	0	3	3	0	3	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	2	0	3	0	0	0	1	0	4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	3	2	1	0	0	0	0	0	1	0	1	0	0	0	1	1	2	0	1	0	1	0	0	1	0	0	4	0	0	0	2	0	1	0	0	0	1	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	1	1	0	1	4	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	1	0	2	0	0	1	0	0	0	1	2	0	0	0	0	1	0	1	0	0	0	2	2	3	0	0	1	0	0	0	0	3	0	0	1	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	3	0	0	0	0	0	2	3	0	0	1	0	6	0	0	2	1	0	0	0	1	0
WIL WHEATON dot NET	2	3	0	1	0	0	1	2	0	14	0	2	0	0	1	0	0	1	2	3	0	1	0	0	0	1	1	0	6	0	3	7	7	0	0	4	1	1	1	0	2	0	0	3	5	0	0	8	0	6	0	0	1	0	0	2	0	1	3	0	6	0	0	1	5	2	0	0	0	5	0	2	4	2	0	2	7	0	18	0	1	0	0	0	2	0	1	0	0	0	0	0	3	6	3	0	4	0	1	0	0	1	2	0	0	0	1	1	9	8	0	0	0	4	0	0	0	0	1	3	0	2	0	1	3	7	0	0	0	0	0	0	3	4	1	0	4	0	0	0	1	1	5	6	1	0	2	6	3	1	4	0	0	0	0	2	0	0	0	2	0	1	1	0	2	2	0	7	2	1	0	2	3	0	0	1	0	2	6	1	1	11	0	0	1	0	0	3	0	7	0	1	3	1	5	0	2	0	0	0	0	0	4	6	0	5	3	0	0	1	0	4	0	0	3	1	2	1	1	8	2	0	2	0	4	1	0	0	0	0	1	1	1	0	2	0	1	2	2	0	0	1	2	0	2	1	5	0	0	3	0	0	1	0	2	5	0	0	1	2	2	0	0	0	0	0	0	1	0	0	2	0	1	0	2	0	4	0	1	1	2	4	0	18	0	4	0	4	1	0	0	5	0	1	6	0	1	1	1	3	4	0	0	2	0	3	1	5	0	1	0	3	0	0	0	1	6	18	1	2	1	4	0	0	2	0	4	1	2	0	1	0	0	1	0	0	1	3	0	0	0	31	3	1	2	1	1	1	3	1	0	1	0	8	3	3	5	9	2	0	9	0	0	3	1	0	0	0	5	0	1	2	0	0	2	1	3	2	0	0	2	0	0	2	0	1	0	1	2	4	2	0	2	3	0	1	2	3	3	0	1	1	1	0	0	2	0	0	1	0	5	0	1	3	0	0	2	5	1	0	0	0	0	3	0	7	2	0	0	0	1	0	2	2	2	0	0	0	0	0	0	2	1	9	1	1	1	1	3	7	3	3	0	3	2	1	1	4	0	3	0	1	2	0	0	0	7	0	0	1	0	1	0	1	0	2	0	0	3	0	1	0	0	0	0	4	0	0	2	2	2	0	0	1	0	0	3	0	5	1	1	0	0	1	2	0	0	3	1	0	1	4	2	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	2	5	11	0	1	2	4	8	10	4	0	0	0	1	0	0	3	1	2	0	3	0	0	0	0	0	1	1	1	0	4	4	0	2	0	6	2	0	0	5	0	2	4	0	0	4	0	12	0	0	18	1	5	0	5	0	2
Latest from Crooks and Liars	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	1	0	0	1	0	1	1	0	0	8	0	1	3	2	4	1	0	0	0	0	0	2	0	0	6	0	1	0	0	1	2	0	0	0	1	0	0	1	0	0	0	2	2	0	0	0	0	0	4	0	1	0	0	17	0	2	1	0	1	0	1	0	1	0	0	0	1	0	0	0	2	1	1	1	0	1	1	0	0	2	0	0	0	1	0	1	2	0	0	0	7	0	1	0	0	0	0	6	0	0	0	1	2	0	2	0	1	1	1	1	0	0	0	1	0	0	0	1	0	2	4	0	0	0	2	1	1	1	1	0	0	0	4	0	0	2	0	1	0	0	1	0	3	1	0	0	0	0	0	1	0	0	0	0	1	1	6	1	3	0	18	1	0	0	0	0	0	0	3	2	1	0	0	2	0	1	0	1	0	0	1	0	0	4	2	1	1	0	5	0	1	1	3	0	0	0	2	1	0	0	0	3	1	3	2	1	0	2	1	2	0	0	2	1	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	2	0	3	5	0	1	4	2	0	17	0	0	0	0	0	1	2	0	17	1	0	0	1	0	0	1	3	0	0	1	0	4	4	0	0	0	0	2	2	0	1	0	1	0	0	0	0	0	0	1	0	5	2	0	0	0	6	0	0	5	1	1	1	3	3	1	2	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	4	0	0	1	0	1	0	3	0	1	8	0	0	0	0	0	0	0	0	0	0	0	3	7	0	1	0	0	0	0	0	2	0	0	0	0	3	0	1	0	2	1	0	0	0	4	0	2	0	0	0	3	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	1	3	0	0	1	0	1	1	4	0	0	0	0	2	1	0	0	0	0	0	0	3	1	1	6	0	1	0	0	1	0	1	3	0	0	0	1	0	4	3	0	0	2	0	0	4	0	9	0	0	1	1	0	0	0	10	0	0	11	0	1	0	5	0	0	0	2	5	17	0	2	1	0	1	0	0	9	0	0	2	0	1	2	0	1	1	1	1	1	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	1	0	1	0	2	0	1	3	0	0	0	0	6	6	2	0	2	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	3	3	0	1	2	0	0	0	1	0	0	0	0	0	1	0	0	1	0	3	1	0	6	0	0	0	1	0	0
The Write News	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	15	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	1	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Kotaku	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	0	2	0	1	3	3	0	1	3	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	1	2	0	0	0	1	0	2	0	2	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	2	1	2	0	0	1	0	0	1	0	2	0	0	1	0	0	0	1	2	0	0	0	0	1	4	1	0	0	24	0	1	1	1	4	0	0	1	0	0	1	0	0	0	0	0	0	3	2	0	0	0	1	0	1	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	1	0	2	0	1	0	1	1	2	0	0	0	0	1	0	0	1	0	0	0	0	1	3	0	1	0	0	0	0	0	0	1	0	2	0	1	1	1	2	0	0	1	14	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	3	0	1	0	1	1	0	0	1	2	1	0	1	0	2	2	0	0	0	0	0	3	0	0	0	1	1	1	2	1	0	2	0	1	1	2	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	4	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	1	0	0	2	3	0	0	2	6	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	2	0	0	0	3	1	1	0	1	0	0	0	0	2	0	0	0	0	0	0	4	2	0	3	0	0	0	0	0	1	1	3	1	0	1
Latest Items from TreeHugger	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	2	0	1	3	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	1	0	1	0	0	0	1	2	0	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	0	0	3	0	0	3	1	0	3	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	1	0	2	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	2	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	2	0	0	0	0	0	1	0	1	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	6	3	0	0	0	0	0	0	2	0	0	2	1	0	0	1	1	0	0	0	0	0
Derek Powazek	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	5	1	3	2	1	4	2	0	1	0	0	0	1	1	0	0	0	5	1	1	1	0	0	1	0	0	2	2	3	0	1	0	1	2	4	0	2	0	0	0	1	1	3	0	0	0	9	0	3	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	4	1	2	0	0	1	0	1	2	0	0	0	0	0	3	0	1	0	3	0	0	0	2	4	2	4	0	1	0	1	4	2	0	1	0	0	1	0	1	5	0	0	1	2	0	1	1	0	1	1	0	0	1	1	2	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	3	3	1	0	3	0	1	1	0	1	0	0	2	3	2	0	1	0	1	0	1	1	1	1	1	2	1	0	3	1	4	0	0	0	0	0	1	2	2	0	1	4	0	1	0	2	2	1	0	1	1	1	0	1	0	0	1	0	1	0	1	1	2	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	4	0	0	0	2	0	0	0	0	4	0	2	1	0	0	1	1	3	0	7	2	0	2	0	1	1	0	0	5	0	0	0	2	1	0	0	1	0	1	3	1	1	0	0	0	2	1	0	1	0	0	2	3	0	0	1	0	1	0	0	0	4	12	0	3	1	3	1	0	4	0	1	0	1	1	1	0	0	1	0	0	2	0	1	0	0	15	4	0	1	0	0	1	1	0	0	0	0	4	4	7	0	2	2	1	3	1	2	5	4	0	0	0	1	1	7	0	3	0	3	0	2	0	0	0	0	0	3	9	0	1	0	1	0	1	0	1	0	3	2	1	0	2	0	0	0	0	1	0	0	0	1	2	0	0	0	2	0	1	0	0	2	2	0	1	0	1	0	0	0	4	2	0	0	1	0	0	1	0	0	0	1	1	1	0	1	3	1	0	0	1	0	0	5	2	1	1	0	0	4	1	2	2	0	3	1	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	3	0	0	3	0	0	1	0	1	1	0	2	0	0	0	0	1	0	0	0	1	1	0	1	2	5	3	0	1	0	0	3	2	1	0	0	0	1	1	0	1	0	2	0	2	1	0	0	0	0	0	5	0	0	8	0	0	0	0	3	1	0	0	0	0	1	7	2	0	3	0	6	0	0	3	2	2	0	2	0	6
Jeremy Zawodny's blog	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	10	0	0	1	0	1	1	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	0	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	1	0	0	1	0	0
Captain's Quarters	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	1	2	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	2	0	2	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	1	1	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	3	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	1	6	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
